"","2.5 %","97.5 %"
"(Intercept)",-0.965276767937171,-0.583085410398605
"train_model_selectedchild_age",0.00143109011087855,0.00369073013114775
"train_model_selectedm_age_marriage",-0.00260736605720941,0.00778816888804734
"train_model_selectedstill_breastfed",0.0506622626411413,0.126193206650822
"train_model_selectedicfi_bottlefeed_score",0.00113149819442662,0.0844604094467882
"train_model_selectedicfi_milk_score",-0.106609855009631,-0.0150179923095131
"train_model_selectedicfi_dairy_score",-0.100298027384448,0.0492778196182495
"train_model_selectedicfi_eggs_fish_score",0.0265609355719348,0.155475866829292
"train_model_selectedicfi_vitA_score",-0.0856195881969305,0.00936513321768034
"train_model_selectedbf_start",-0.100228495209127,-0.0211899332739072
"train_model_selectedwater_source",0.0576386278757895,0.134785421157723
"train_model_selectedwater_treatment",-0.0416357664601857,0.030399161814338
"train_model_selectedtotal_children_born",-0.0108787658403869,0.0330402560912319
"train_model_selectedsibling_under5",-0.030615744413181,0.0301779410055413
"train_model_selectedbrothers_count",0.0480315596879467,0.0902512139457116
"train_model_selectedpreg_deworm",-0.0210125133287001,0.0505184246050298
"train_model_selectedrural",-0.13008725738986,-0.037641088384267
"train_model_selectedwater_home",-0.077613370135974,0.00180784352177011
"train_model_selectedroof_finish",-0.0840520507432817,0.0107299510524276
"train_model_selecteduse_soap",-0.112710966029074,-0.0340990782746625
"train_model_selectedmean_district_CIAF_40_49.9",0.243043263834032,0.399277391169051
"train_model_selectedmean_district_CIAF_50_59.9",0.500891524760242,0.653914261041339
"train_model_selectedmean_district_CIAF_60_69.9",0.75836939184431,0.91409088479596
"train_model_selectedmean_district_CIAF_70_79.9",1.03654985939508,1.22562901319939
"train_model_selectedmean_district_CIAF_80_89.9",1.24926488153886,1.7156768610149
"train_model_selectedwealth_quintile_1",0.053759336119649,0.163863844663063
"train_model_selectedwealth_quintile_2",-0.0123455786784653,0.0886409128128618
"train_model_selectedwealth_quintile_4",-0.139860322210119,-0.0308401812114996
"train_model_selectedwealth_quintile_5",-0.254578820630837,-0.123281968578329
"train_model_selectedmaternal_bmi_1....18.5",0.203353022142902,0.289722116020158
"train_model_selectedmaternal_bmi_3..25.",-0.373014978066576,-0.28323986097222
"train_model_selectedhhadults_3..3..adults",-0.0864311096575598,-0.0132449645609059
"train_model_selectedhh_members_3..9.or.more",0.0142672283724266,0.109679766701343
"train_model_selectedchild_anemia_1",0.24591359549373,0.472445951631943
"train_model_selectedchild_anemia_2",0.100030325390985,0.177346551024958
"train_model_selectedchild_anemia_4",-0.175613815268601,-0.0972012447979717
"train_model_selectedsiblings_2..two",-0.0393669180256146,0.0529936474494718
"train_model_selectedsiblings_4..4.or.more",-0.0704877122466337,0.134607242480543
"train_model_selectedpreg_iron_0",-0.0629604183471237,0.0419781460540282
"train_model_selectedpreg_iron_1..1.mo.or.less",-0.108546756429151,-0.0185216426197283
"train_model_selectedpreg_iron_2..1.3.mo",-0.0290349594017542,0.0528041797694393
"train_model_selectedpreg_iron_4..6..mo",-0.0229017466830298,0.0674040100074619
"train_model_selectedbirthweight_1..1800g.or.less",0.48953041239859,0.735316966015034
"train_model_selectedbirthweight_2..1801.to.2500g",0.107127836094034,0.263407910223047
"train_model_selectedbirthweight_3..more.than.2500g",-0.213022381422231,-0.0571278429330952
"train_model_selectedcaste_1..None",-0.193675127970351,-0.101542276514826
"train_model_selectedcaste_3..Scheduled.Tribe",-0.0337834323901364,0.0740719721518669
"train_model_selectedcaste_4..Scheduled.Caste",0.0221916684812764,0.112057564368233
"train_model_selectedreligion_2..Muslim",0.124337036708656,0.226068352601508
"train_model_selectedreligion_3..Christian",-0.122245898344831,0.0245157021261993
"train_model_selectedreligion_4..Other",-0.224591326905572,0.0841003506469125
"train_model_selectedanganwadi_support_1",0.000745593761318607,0.0730388704465463
"train_model_selectedanc_visits_1..1.3.visits",-0.0742604901299407,0.0163956409848699
"train_model_selectedanc_visits_2..4.or.more.visits",-0.043119114420449,0.0464019292833039
"train_model_selectedmaternal_education_no.edu",0.0763881434843567,0.176510786844139
"train_model_selectedmaternal_education_primary",0.0422162165440266,0.135678823942883
"train_model_selectedmaternal_education_high.secondary.or.college",-0.153054997481025,-0.0624528668995718
"train_model_selectedm_ht_1..5feet2.or.higher",-0.371860609285057,-0.281708484526609
"train_model_selectedm_ht_3..less.than.4feet8",0.44423674688216,0.528495293090429
"train_model_selectedmother_agecat_3..35.",-0.117036548620616,0.0155163168071139
